cluster,cluster_label,severity_rank,variable,variable_type,prototype,global_reference,delta_vs_global,z_score_vs_global,tlp_color,tlp_polarity,tlp_color_basis,tlp_color_hex,atlp_darkening,atlp_color_hex,uncertainty,confidence
0,cluster_0,1,gcs_motor,numeric,1.0,6.0,-5.0,-2.69680962767856,red,lower_worse,clinical_threshold,#ff0000,mid,#c80000,0.7185453379476102,medium
0,cluster_0,1,gcs_score,numeric,48.0,0.0,48.0,3.421977927666762,red,higher_worse,percentile_score_fallback,#ff0000,pure,#ff0000,0.25100000842682096,high
0,cluster_0,1,glucose_max,numeric,177.0,160.0,17.0,-0.06163971153157382,green,higher_worse,clinical_threshold,#00ff00,mid,#009600,0.4189066547378493,medium
0,cluster_0,1,glucose_score,numeric,0.0,0.0,0.0,-0.5697024544475177,green,higher_worse,percentile_score_fallback,#00ff00,dark,#005a00,1.4485966206337835,low
0,cluster_0,1,heart_rate_max,numeric,105.0,100.0,5.0,0.12353727212752656,yellow,higher_worse,clinical_threshold,#ffff00,pure,#ffff00,0.20392554727481765,high
0,cluster_0,1,heart_rate_min,numeric,69.0,69.0,0.0,-0.0607043100835019,green,target_range,clinical_threshold,#00ff00,pure,#00ff00,0.23405250105669811,high
0,cluster_0,1,mbp_max,numeric,102.0,101.0,1.0,-0.1350114284132059,green,target_range,clinical_threshold,#00ff00,pure,#00ff00,0.2726871358900376,high
0,cluster_0,1,mbp_min,numeric,57.0,60.0,-3.0,-0.23268486436563546,yellow,lower_worse,clinical_threshold,#ffff00,pure,#ffff00,0.2570504852122773,high
0,cluster_0,1,resp_rate_max,numeric,28.0,26.0,2.0,0.07222953923460397,yellow,higher_worse,clinical_threshold,#ffff00,pure,#ffff00,0.23424227795678548,high
0,cluster_0,1,sodium_min,numeric,137.0,137.0,0.0,0.003311943661108208,green,lower_worse,clinical_threshold,#00ff00,pure,#00ff00,0.03998208059806651,high
0,cluster_0,1,temp_score,numeric,0.0,0.0,0.0,-0.332626305187171,green,higher_worse,percentile_score_fallback,#00ff00,dark,#005a00,2.268264012394953,low
0,cluster_0,1,temperature_max,numeric,37.39,37.17,0.21999999999999886,0.08052405501496077,green,higher_worse,clinical_threshold,#00ff00,pure,#00ff00,0.025978529868213678,high
0,cluster_0,1,urineoutput,numeric,1365.0,1550.0,-185.0,-0.3454276543597461,green,lower_worse,clinical_threshold,#00ff00,mid,#009600,0.768838504449757,medium
1,cluster_1,2,admission_location,categorical,1,0,-0.10724566098100952,,yellow,categorical_context,mode_entropy,#ffff00,mid,#f0bc00,0.5719895542199321,medium
1,cluster_1,2,admission_type,categorical,0,0,-0.1255879941567789,,yellow,categorical_context,mode_entropy,#ffff00,mid,#f0bc00,0.7780569834987582,medium
1,cluster_1,2,ethnicity,categorical,0,0,-0.07470705779928477,,yellow,categorical_context,mode_entropy,#ffff00,mid,#f0bc00,0.6426314824451184,medium
1,cluster_1,2,gcs_unable,categorical,1,0,0.04285022606429145,,yellow,categorical_context,mode_entropy,#ffff00,pure,#ffff00,0.2741337484309475,high
1,cluster_1,2,gender,categorical,0,0,0.11320795644824022,,yellow,categorical_context,mode_entropy,#ffff00,dark,#c85f00,0.9130915042252461,low
1,cluster_1,2,marital_status,categorical,0,0,0.03308344750047404,,yellow,categorical_context,mode_entropy,#ffff00,mid,#f0bc00,0.8353646691320332,medium
1,cluster_1,2,admission_age,numeric,66.72037094000001,66.69741432,0.022956620000016414,0.10451999961929889,yellow,higher_worse,clinical_threshold,#ffff00,pure,#ffff00,0.24215164510112477,high
1,cluster_1,2,apsiii,numeric,37.0,39.0,-2.0,-0.3204572261731913,green,higher_worse,clinical_threshold,#00ff00,mid,#009600,0.543943820597864,medium
1,cluster_1,2,apsiii_prob,numeric,0.063722153,0.069599355,-0.005877201999999998,-0.40869878140660626,green,higher_worse,clinical_threshold,#00ff00,dark,#005a00,1.2416550208888393,low
1,cluster_1,2,bun_max,numeric,18.5,19.0,-0.5,-0.351541051061014,green,higher_worse,clinical_threshold,#00ff00,mid,#009600,0.7260658993018506,medium
1,cluster_1,2,creatinine_max,numeric,1.0,1.0,0.0,-0.27910978084815746,green,higher_worse,clinical_threshold,#00ff00,mid,#009600,0.8835850738325112,medium
1,cluster_1,2,gcs_motor,numeric,1.0,6.0,-5.0,-2.69680962767856,red,lower_worse,clinical_threshold,#ff0000,mid,#c80000,0.7490329726460175,medium
1,cluster_1,2,gcs_score,numeric,0.0,0.0,0.0,-0.5011084726106645,green,higher_worse,percentile_score_fallback,#00ff00,dark,#005a00,5.874699524863592,low
1,cluster_1,2,glucose_max,numeric,182.0,160.0,22.0,-0.012608574349277802,yellow,higher_worse,clinical_threshold,#ffff00,mid,#f0bc00,0.41573539557706957,medium
1,cluster_1,2,glucose_score,numeric,0.0,0.0,0.0,-0.5697024544475177,green,higher_worse,percentile_score_fallback,#00ff00,dark,#005a00,1.3746471013879362,low
1,cluster_1,2,heart_rate_max,numeric,100.5,100.0,0.5,-0.09648378035037955,yellow,higher_worse,clinical_threshold,#ffff00,pure,#ffff00,0.20372169065046153,high
1,cluster_1,2,heart_rate_min,numeric,67.0,69.0,-2.0,-0.19279743368981453,green,target_range,clinical_threshold,#00ff00,pure,#00ff00,0.250883741800656,high
1,cluster_1,2,mbp_max,numeric,97.0,101.0,-4.0,-0.336826168731844,green,target_range,clinical_threshold,#00ff00,pure,#00ff00,0.26036133864143723,high
1,cluster_1,2,mbp_min,numeric,57.0,60.0,-3.0,-0.23268486436563546,yellow,lower_worse,clinical_threshold,#ffff00,pure,#ffff00,0.2788351208788246,high
1,cluster_1,2,resp_rate_max,numeric,27.0,26.0,1.0,-0.0848449101570984,yellow,higher_worse,clinical_threshold,#ffff00,pure,#ffff00,0.23338159239535905,high
1,cluster_1,2,sodium_min,numeric,137.0,137.0,0.0,0.003311943661108208,green,lower_worse,clinical_threshold,#00ff00,pure,#00ff00,0.03271468586539625,high
1,cluster_1,2,temp_score,numeric,0.0,0.0,0.0,-0.332626305187171,green,higher_worse,percentile_score_fallback,#00ff00,dark,#005a00,2.06942593892966,low
1,cluster_1,2,temperature_max,numeric,37.22,37.17,0.04999999999999716,-0.15984800768471172,green,higher_worse,clinical_threshold,#00ff00,pure,#00ff00,0.027230475372683173,high
1,cluster_1,2,urineoutput,numeric,1535.0,1550.0,-15.0,-0.20572093088814172,green,lower_worse,clinical_threshold,#00ff00,mid,#009600,0.7611322381356453,medium
4,cluster_4,3,admission_location,categorical,0,0,0.08550691913849079,,yellow,categorical_context,mode_entropy,#ffff00,mid,#f0bc00,0.5271635130435289,medium
4,cluster_4,3,admission_type,categorical,0,0,0.10610673696761008,,yellow,categorical_context,mode_entropy,#ffff00,mid,#f0bc00,0.5542919283164875,medium
4,cluster_4,3,ethnicity,categorical,0,0,-0.06622253851628646,,yellow,categorical_context,mode_entropy,#ffff00,mid,#f0bc00,0.6873382028852487,medium
4,cluster_4,3,gcs_unable,categorical,0,0,0.04935620107787109,,yellow,categorical_context,mode_entropy,#ffff00,pure,#ffff00,0.2452046886210929,high
4,cluster_4,3,gender,categorical,0,0,-0.007009316772835339,,yellow,categorical_context,mode_entropy,#ffff00,dark,#c85f00,0.9923132086124722,low
4,cluster_4,3,marital_status,categorical,0,0,-0.015371196714626445,,yellow,categorical_context,mode_entropy,#ffff00,mid,#f0bc00,0.8430483409409409,medium
4,cluster_4,3,admission_age,numeric,65.61737891,66.69741432,-1.0800354099999936,0.04075739541695251,yellow,higher_worse,clinical_threshold,#ffff00,pure,#ffff00,0.25720234677403864,high
4,cluster_4,3,apsiii,numeric,46.0,39.0,7.0,0.07743407735992008,yellow,higher_worse,clinical_threshold,#ffff00,mid,#f0bc00,0.39087900818604626,medium
4,cluster_4,3,apsiii_prob,numeric,0.094315967,0.069599355,0.024716612,-0.20415367457370384,green,higher_worse,clinical_threshold,#00ff00,dark,#005a00,0.9354110979922373,low
4,cluster_4,3,bun_max,numeric,28.0,19.0,9.0,0.09231931588851544,yellow,higher_worse,clinical_threshold,#ffff00,mid,#f0bc00,0.776578509120665,medium
4,cluster_4,3,creatinine_max,numeric,1.3,1.0,0.30000000000000004,-0.08926851171503981,green,higher_worse,clinical_threshold,#00ff00,dark,#005a00,1.030751138608259,low
4,cluster_4,3,gcs_motor,numeric,6.0,6.0,0.0,0.48020121221188156,green,lower_worse,clinical_threshold,#00ff00,pure,#00ff00,0.13851161448777083,high
4,cluster_4,3,gcs_score,numeric,0.0,0.0,0.0,-0.5011084726106645,green,higher_worse,percentile_score_fallback,#00ff00,dark,#005a00,1.8909834907607637,low
4,cluster_4,3,glucose_max,numeric,351.0,160.0,191.0,1.6446438624123274,red,higher_worse,clinical_threshold,#ff0000,mid,#c80000,0.4836118191988053,medium
4,cluster_4,3,glucose_score,numeric,5.0,0.0,5.0,2.061907282328506,red,higher_worse,percentile_score_fallback,#ff0000,pure,#ff0000,0.2530748035155484,high
4,cluster_4,3,heart_rate_max,numeric,105.0,100.0,5.0,0.12353727212752656,yellow,higher_worse,clinical_threshold,#ffff00,pure,#ffff00,0.18986702162235256,high
4,cluster_4,3,heart_rate_min,numeric,74.0,69.0,5.0,0.2695284989322797,green,target_range,clinical_threshold,#00ff00,pure,#00ff00,0.2090331017144113,high
4,cluster_4,3,mbp_max,numeric,103.0,101.0,2.0,-0.09464848034947826,green,target_range,clinical_threshold,#00ff00,pure,#00ff00,0.2335255545455143,high
4,cluster_4,3,mbp_min,numeric,61.0,60.0,1.0,0.057383144153202975,yellow,lower_worse,clinical_threshold,#ffff00,pure,#ffff00,0.23481815033615272,high
4,cluster_4,3,resp_rate_max,numeric,28.0,26.0,2.0,0.07222953923460397,yellow,higher_worse,clinical_threshold,#ffff00,pure,#ffff00,0.21795128739015104,high
4,cluster_4,3,sodium_min,numeric,135.0,137.0,-2.0,-0.3948134546841844,green,lower_worse,clinical_threshold,#00ff00,pure,#00ff00,0.05229270428830738,high
4,cluster_4,3,temp_score,numeric,0.0,0.0,0.0,-0.332626305187171,green,higher_worse,percentile_score_fallback,#00ff00,dark,#005a00,3.515538713459502,low
4,cluster_4,3,temperature_max,numeric,37.17,37.17,0.0,-0.23054567318461067,green,higher_worse,clinical_threshold,#00ff00,pure,#00ff00,0.019873065144233332,high
4,cluster_4,3,urineoutput,numeric,1682.5,1550.0,132.5,-0.08450480317013208,green,lower_worse,clinical_threshold,#00ff00,mid,#009600,0.7897447336025822,medium
2,cluster_2,4,admission_location,categorical,0,0,-0.007867615495548652,,yellow,categorical_context,mode_entropy,#ffff00,mid,#f0bc00,0.5513409075704879,medium
2,cluster_2,4,admission_type,categorical,0,0,-0.011463929347916568,,yellow,categorical_context,mode_entropy,#ffff00,mid,#f0bc00,0.6652324083376825,medium
2,cluster_2,4,ethnicity,categorical,0,0,0.036893807747481744,,yellow,categorical_context,mode_entropy,#ffff00,mid,#f0bc00,0.569400106286427,medium
2,cluster_2,4,gcs_unable,categorical,0,0,0.05920980530980302,,yellow,categorical_context,mode_entropy,#ffff00,pure,#ffff00,0.19830487581150455,high
2,cluster_2,4,gender,categorical,0,0,-0.018305143215417097,,yellow,categorical_context,mode_entropy,#ffff00,dark,#c85f00,0.9953151602649101,low
2,cluster_2,4,marital_status,categorical,0,0,0.013363795209896279,,yellow,categorical_context,mode_entropy,#ffff00,mid,#f0bc00,0.8353758005669557,medium
2,cluster_2,4,admission_age,numeric,67.74322869,66.69741432,1.0458143700000022,0.16365014026823094,yellow,higher_worse,clinical_threshold,#ffff00,pure,#ffff00,0.2592642696541969,high
2,cluster_2,4,apsiii,numeric,37.0,39.0,-2.0,-0.3204572261731913,green,higher_worse,clinical_threshold,#00ff00,mid,#009600,0.39714549712022396,medium
2,cluster_2,4,apsiii_prob,numeric,0.063722153,0.069599355,-0.005877201999999998,-0.40869878140660626,green,higher_worse,clinical_threshold,#00ff00,dark,#005a00,0.9116817746085369,low
2,cluster_2,4,bun_max,numeric,19.0,19.0,0.0,-0.3281799791163019,green,higher_worse,clinical_threshold,#00ff00,mid,#009600,0.7994075503210147,medium
2,cluster_2,4,creatinine_max,numeric,1.0,1.0,0.0,-0.27910978084815746,green,higher_worse,clinical_threshold,#00ff00,dark,#005a00,0.9510168330936375,low
2,cluster_2,4,gcs_motor,numeric,6.0,6.0,0.0,0.48020121221188156,green,lower_worse,clinical_threshold,#00ff00,pure,#00ff00,0.06530665065691815,high
2,cluster_2,4,gcs_score,numeric,0.0,0.0,0.0,-0.5011084726106645,green,higher_worse,percentile_score_fallback,#00ff00,dark,#005a00,1.9627358135397075,low
2,cluster_2,4,glucose_max,numeric,147.0,160.0,-13.0,-0.3558265346253499,green,higher_worse,clinical_threshold,#00ff00,pure,#00ff00,0.2991519609996751,high
2,cluster_2,4,glucose_score,numeric,0.0,0.0,0.0,-0.5697024544475177,green,higher_worse,percentile_score_fallback,#00ff00,dark,#005a00,2.4228620874641886,low
2,cluster_2,4,heart_rate_max,numeric,97.0,100.0,-3.0,-0.2676112656109732,green,higher_worse,clinical_threshold,#00ff00,pure,#00ff00,0.18991242022580845,high
2,cluster_2,4,heart_rate_min,numeric,67.0,69.0,-2.0,-0.19279743368981453,green,target_range,clinical_threshold,#00ff00,pure,#00ff00,0.20450925579272478,high
2,cluster_2,4,mbp_max,numeric,101.0,101.0,0.0,-0.17537437647693352,green,target_range,clinical_threshold,#00ff00,pure,#00ff00,0.21378179313540316,high
2,cluster_2,4,mbp_min,numeric,60.0,60.0,0.0,-0.015133857976506638,yellow,lower_worse,clinical_threshold,#ffff00,pure,#ffff00,0.21792828161086852,high
2,cluster_2,4,resp_rate_max,numeric,27.0,26.0,1.0,-0.0848449101570984,yellow,higher_worse,clinical_threshold,#ffff00,pure,#ffff00,0.23775978661801359,high
2,cluster_2,4,sodium_min,numeric,138.0,137.0,1.0,0.2023746428337545,green,lower_worse,clinical_threshold,#00ff00,pure,#00ff00,0.0346876188427295,high
2,cluster_2,4,temp_score,numeric,0.0,0.0,0.0,-0.332626305187171,green,higher_worse,percentile_score_fallback,#00ff00,dark,#005a00,3.0599090132418754,low
2,cluster_2,4,temperature_max,numeric,37.11,37.17,-0.060000000000002274,-0.3153828717844974,green,higher_worse,clinical_threshold,#00ff00,pure,#00ff00,0.015109788516176214,high
2,cluster_2,4,urineoutput,numeric,1525.0,1550.0,-25.0,-0.21393897344529494,green,lower_worse,clinical_threshold,#00ff00,mid,#009600,0.6422841317424358,medium
3,cluster_3,5,admission_location,categorical,0,0,0.025409802737604403,,yellow,categorical_context,mode_entropy,#ffff00,mid,#f0bc00,0.5289729499287884,medium
3,cluster_3,5,admission_type,categorical,0,0,0.02102765520572214,,yellow,categorical_context,mode_entropy,#ffff00,mid,#f0bc00,0.6430361023952814,medium
3,cluster_3,5,ethnicity,categorical,0,0,-0.033448290558130256,,yellow,categorical_context,mode_entropy,#ffff00,mid,#f0bc00,0.6532998694060904,medium
3,cluster_3,5,gcs_unable,categorical,0,0,-0.004093428930102672,,yellow,categorical_context,mode_entropy,#ffff00,mid,#f0bc00,0.44996493874843,medium
3,cluster_3,5,gender,categorical,0,0,0.01908239912547538,,yellow,categorical_context,mode_entropy,#ffff00,dark,#c85f00,0.9825272707827559,low
3,cluster_3,5,marital_status,categorical,0,0,-0.029620643444171757,,yellow,categorical_context,mode_entropy,#ffff00,mid,#f0bc00,0.8480626859256118,medium
3,cluster_3,5,admission_age,numeric,62.80649154,66.69741432,-3.8909227799999897,-0.12173652471652524,green,higher_worse,clinical_threshold,#00ff00,pure,#00ff00,0.29916789683515466,high
3,cluster_3,5,apsiii,numeric,33.0,39.0,-6.0,-0.49729780552124075,green,higher_worse,clinical_threshold,#00ff00,mid,#009600,0.45204694405394186,medium
3,cluster_3,5,apsiii_prob,numeric,0.053331592,0.069599355,-0.016267763000000005,-0.4781683287405474,green,higher_worse,clinical_threshold,#00ff00,dark,#005a00,0.9384480651423301,low
3,cluster_3,5,bun_max,numeric,17.0,19.0,-2.0,-0.42162426689515026,green,higher_worse,clinical_threshold,#00ff00,mid,#009600,0.8389725742844855,medium
3,cluster_3,5,creatinine_max,numeric,1.0,1.0,0.0,-0.27910978084815746,green,higher_worse,clinical_threshold,#00ff00,dark,#005a00,1.4466543339985745,low
3,cluster_3,5,gcs_motor,numeric,6.0,6.0,0.0,0.48020121221188156,green,lower_worse,clinical_threshold,#00ff00,pure,#00ff00,0.10262005029093312,high
3,cluster_3,5,gcs_score,numeric,0.0,0.0,0.0,-0.5011084726106645,green,higher_worse,percentile_score_fallback,#00ff00,dark,#005a00,1.6330242717027712,low
3,cluster_3,5,glucose_max,numeric,158.0,160.0,-2.0,-0.24795803282429868,green,higher_worse,clinical_threshold,#00ff00,mid,#009600,0.3206871132888524,medium
3,cluster_3,5,glucose_score,numeric,0.0,0.0,0.0,-0.5697024544475177,green,higher_worse,percentile_score_fallback,#00ff00,dark,#005a00,2.0182291230866474,low
3,cluster_3,5,heart_rate_max,numeric,105.0,100.0,5.0,0.12353727212752656,yellow,higher_worse,clinical_threshold,#ffff00,pure,#ffff00,0.20794628240861437,high
3,cluster_3,5,heart_rate_min,numeric,71.0,69.0,2.0,0.07138881352281073,green,target_range,clinical_threshold,#00ff00,pure,#00ff00,0.2203713263042824,high
3,cluster_3,5,mbp_max,numeric,102.0,101.0,1.0,-0.1350114284132059,green,target_range,clinical_threshold,#00ff00,pure,#00ff00,0.26043204103384365,high
3,cluster_3,5,mbp_min,numeric,61.0,60.0,1.0,0.057383144153202975,yellow,lower_worse,clinical_threshold,#ffff00,pure,#ffff00,0.22246729751941666,high
3,cluster_3,5,resp_rate_max,numeric,24.0,26.0,-2.0,-0.5560682583322055,yellow,higher_worse,clinical_threshold,#ffff00,pure,#ffff00,0.1641241431983137,high
3,cluster_3,5,sodium_min,numeric,138.0,137.0,1.0,0.2023746428337545,green,lower_worse,clinical_threshold,#00ff00,pure,#00ff00,0.031878411418683195,high
3,cluster_3,5,temp_score,numeric,0.0,0.0,0.0,-0.332626305187171,green,higher_worse,percentile_score_fallback,#00ff00,dark,#005a00,2.8962083662941147,low
3,cluster_3,5,temperature_max,numeric,37.39,37.17,0.21999999999999886,0.08052405501496077,green,higher_worse,clinical_threshold,#00ff00,pure,#00ff00,0.020182614441460432,high
3,cluster_3,5,urineoutput,numeric,1660.1280406961039,1550.0,110.12804069610388,-0.10289017453476385,green,lower_worse,clinical_threshold,#00ff00,mid,#009600,0.653685217735975,medium
